ncbi_gene_id,gene_symbol,association_type,disease_id
4508,MT-ATP6,MENDELIAN,OMIM:551500
5621,PRNP,MENDELIAN,OMIM:603218
7490,WT1,MENDELIAN,OMIM:136680
5159,PDGFRB,MENDELIAN,OMIM:616592
81848,SPRY4,MENDELIAN,OMIM:615266
388588,SMIM1,MENDELIAN,OMIM:615264
2623,GATA1,MENDELIAN,OMIM:314050
1848,DUSP6,MENDELIAN,OMIM:615269
54756,IL17RD,MENDELIAN,OMIM:615267
51761,ATP8A2,MENDELIAN,OMIM:615268
51702,PADI3,MENDELIAN,OMIM:191480
4247,MGAT2,MENDELIAN,OMIM:212066
5373,PMM2,MENDELIAN,OMIM:212065
5337,PLD1,MENDELIAN,OMIM:212093
54345,SOX18,MENDELIAN,OMIM:137940
5317,PKP1,MENDELIAN,OMIM:604536
167691,LCA5,MENDELIAN,OMIM:604537
2072,ERCC4,MENDELIAN,OMIM:615272
55768,NGLY1,MENDELIAN,OMIM:615273
8822,FGF17,MENDELIAN,OMIM:615270
23767,FLRT3,MENDELIAN,OMIM:615271
3982,LIM2,MENDELIAN,OMIM:615277
4284,MIP,MENDELIAN,OMIM:615274
3845,KRAS,MENDELIAN,OMIM:615278
5604,MAP2K1,MENDELIAN,OMIM:615279
55687,TRMU,MENDELIAN,OMIM:580000
4574,MT-TS1,MENDELIAN,OMIM:580000
55687,TRMU,POLYGENIC,OMIM:580000
79719,AAGAB,MENDELIAN,OMIM:148600
1311,COMP,MENDELIAN,OMIM:177170
5605,MAP2K2,MENDELIAN,OMIM:615280
6305,SBF1,MENDELIAN,OMIM:615284
682,BSG,MENDELIAN,OMIM:111380
1615,DARS1,MENDELIAN,OMIM:615281
3800,KIF5C,MENDELIAN,OMIM:615282
11041,B4GAT1,MENDELIAN,OMIM:615287
11311,VPS45,MENDELIAN,OMIM:615285
113179,ADAT3,MENDELIAN,OMIM:615286
6901,TAFAZZIN,MENDELIAN,OMIM:302060
29958,DMGDH,MENDELIAN,OMIM:605850
57609,DIP2B,MENDELIAN,OMIM:136630
6654,SOS1,MENDELIAN,OMIM:135300
1491,CTH,MENDELIAN,OMIM:219500
23299,BICD2,MENDELIAN,OMIM:615290
1436,CSF1R,MENDELIAN,OMIM:221820
92749,DRC1,MENDELIAN,OMIM:615294
4854,NOTCH3,MENDELIAN,OMIM:615293
8200,GDF5,MENDELIAN,OMIM:615298
2694,CBLIF,MENDELIAN,OMIM:261000
285203,EOGT,MENDELIAN,OMIM:615297
859,CAV3,MENDELIAN,OMIM:123320
1756,DMD,MENDELIAN,OMIM:302045
54101,RIPK4,MENDELIAN,OMIM:263650
58495,OVOL2,MENDELIAN,OMIM:122000
7273,TTN,MENDELIAN,OMIM:611705
4893,NRAS,MENDELIAN,OMIM:162900
3265,HRAS,MENDELIAN,OMIM:162900
2261,FGFR3,MENDELIAN,OMIM:162900
5290,PIK3CA,MENDELIAN,OMIM:162900
64132,XYLT2,MENDELIAN,OMIM:605822
658,BMPR1B,MENDELIAN,OMIM:112600
650,BMP2,MENDELIAN,OMIM:112600
8200,GDF5,MENDELIAN,OMIM:112600
10020,GNE,MENDELIAN,OMIM:605820
6448,SGSH,MENDELIAN,OMIM:252900
10564,ARFGEF2,MENDELIAN,OMIM:608097
5396,PRRX1,MENDELIAN,OMIM:202650
1798,DPAGT1,MENDELIAN,OMIM:608093
51259,TMEM216,MENDELIAN,OMIM:608091
56623,INPP5E,MENDELIAN,OMIM:213300
4023,LPL,MENDELIAN,OMIM:238600
959,CD40LG,MENDELIAN,OMIM:308230
1950,EGF,MENDELIAN,OMIM:611718
6442,SGCA,MENDELIAN,OMIM:608099
56945,MRPS22,MENDELIAN,OMIM:611719
10165,SLC25A13,MENDELIAN,OMIM:605814
4312,MMP1,POLYGENIC,OMIM:226600
1294,COL7A1,MENDELIAN,OMIM:226600
5660,PSAP,MENDELIAN,OMIM:611721
5660,PSAP,MENDELIAN,OMIM:611722
3662,IRF4,MENDELIAN,OMIM:611724
27030,MLH3,POLYGENIC,OMIM:608089
4437,MSH3,MENDELIAN,OMIM:608089
999,CDH1,MENDELIAN,OMIM:608089
2956,MSH6,POLYGENIC,OMIM:608089
154881,KCTD7,MENDELIAN,OMIM:611726
4068,SH2D1A,MENDELIAN,OMIM:308240
331,XIAP,MENDELIAN,OMIM:308240
2312,FLG,POLYGENIC,OMIM:605803
7480,WNT10B,MENDELIAN,OMIM:225300
1145,CHRNE,MENDELIAN,OMIM:605809
2334,AFF2,MENDELIAN,OMIM:309548
24140,FTSJ1,MENDELIAN,OMIM:309549
6928,HNF1B,MENDELIAN,OMIM:137920
3054,HCFC1,MENDELIAN,OMIM:309541
4625,MYH7,MENDELIAN,OMIM:255160
4647,MYO7A,MENDELIAN,OMIM:276900
10083,USH1C,MENDELIAN,OMIM:276900
7399,USH2A,MENDELIAN,OMIM:276901
79955,PDZD7,POLYGENIC,OMIM:276901
6331,SCN5A,MENDELIAN,OMIM:113900
7401,CLRN1,MENDELIAN,OMIM:276902
10083,USH1C,MENDELIAN,OMIM:276904
27316,RBMX,MENDELIAN,OMIM:309555
208,AKT2,MENDELIAN,OMIM:240900
434,ASIP,MENDELIAN,OMIM:611742
2065,ERBB3,MENDELIAN,OMIM:243180
7291,TWIST1,MENDELIAN,OMIM:180750
4210,MEFV,MENDELIAN,OMIM:608068
9294,S1PR2,MENDELIAN,OMIM:610419
3914,LAMB3,MENDELIAN,OMIM:226650
1278,COL1A2,MENDELIAN,OMIM:225320
4609,MYC,MENDELIAN,OMIM:113970
8842,PROM1,MENDELIAN,OMIM:608051
9968,MED12,MENDELIAN,OMIM:309520
3588,IL10RB,POLYGENIC,OMIM:610424
3455,IFNAR2,POLYGENIC,OMIM:610424
3459,IFNGR1,POLYGENIC,OMIM:610424
80184,CEP290,MENDELIAN,OMIM:611755
1413,CRYBA4,MENDELIAN,OMIM:610425
57010,CABP4,MENDELIAN,OMIM:610427
162417,NAGS,MENDELIAN,OMIM:237310
128178,EDARADD,MENDELIAN,OMIM:129490
10913,EDAR,MENDELIAN,OMIM:129490
2993,GYPA,MENDELIAN,OMIM:111300
51360,MBTPS2,MENDELIAN,OMIM:308205
2324,FLT4,MENDELIAN,OMIM:153100
91662,NLRP12,MENDELIAN,OMIM:611762
23096,IQSEC2,MENDELIAN,OMIM:309530
2799,GNS,MENDELIAN,OMIM:252940
10084,PQBP1,MENDELIAN,OMIM:309500
5339,PLEC,MENDELIAN,OMIM:226670
2521,FUS,MENDELIAN,OMIM:608030
348,APOE,MENDELIAN,OMIM:611771
54187,NANS,MENDELIAN,OMIM:610442
1282,COL4A1,MENDELIAN,OMIM:611773
284058,KANSL1,MENDELIAN,OMIM:610443
2779,GNAT1,MENDELIAN,OMIM:610444
6010,RHO,MENDELIAN,OMIM:610445
6556,SLC11A1,POLYGENIC,OMIM:610446
60506,NYX,MENDELIAN,OMIM:310500
138050,HGSNAT,MENDELIAN,OMIM:252930
23171,GPD1L,MENDELIAN,OMIM:611777
11277,TREX1,MENDELIAN,OMIM:610448
1855,DVL1,MENDELIAN,OMIM:180700
7474,WNT5A,MENDELIAN,OMIM:180700
5903,RANBP2,POLYGENIC,OMIM:608033
2034,EPAS1,MENDELIAN,OMIM:611783
54809,SAMD9,MENDELIAN,OMIM:610455
170302,ARX,MENDELIAN,OMIM:309510
27445,PCLO,MENDELIAN,OMIM:608027
1373,CPS1,MENDELIAN,OMIM:237300
59,ACTA2,MENDELIAN,OMIM:611788
4669,NAGLU,MENDELIAN,OMIM:252920
3852,KRT5,MENDELIAN,OMIM:609352
168667,BMPER,MENDELIAN,OMIM:608022
773,CACNA1A,MENDELIAN,OMIM:183086
2643,GCH1,MENDELIAN,OMIM:128230
26128,KIFBP,MENDELIAN,OMIM:609460
80308,FLAD1,MENDELIAN,OMIM:255100
5961,PRPH2,MENDELIAN,OMIM:608133
6094,ROM1,MENDELIAN,OMIM:608133
55811,ADCY10,POLYGENIC,OMIM:143870
126792,B3GALT6,MENDELIAN,OMIM:609465
5376,PMP22,MENDELIAN,OMIM:180800
4359,MPZ,MENDELIAN,OMIM:180800
478,ATP1A3,MENDELIAN,OMIM:128235
9401,RECQL4,MENDELIAN,OMIM:268400
727897,MUC5B,POLYGENIC,OMIM:178500
6440,SFTPC,MENDELIAN,OMIM:178500
7015,TERT,MENDELIAN,OMIM:178500
729238,SFTPA2,MENDELIAN,OMIM:178500
89910,UBE3B,MENDELIAN,OMIM:244450
6311,ATXN2,POLYGENIC,OMIM:183090
1135,CHRNA2,MENDELIAN,OMIM:610353
169522,KCNV2,MENDELIAN,OMIM:610356
547,KIF1A,MENDELIAN,OMIM:610357
1286,COL4A4,MENDELIAN,OMIM:141200
23020,SNRNP200,MENDELIAN,OMIM:610359
771,CA12,MENDELIAN,OMIM:143860
11155,LDB3,MENDELIAN,OMIM:609452
25778,DSTYK,MENDELIAN,OMIM:270750
7780,SLC30A2,MENDELIAN,OMIM:608118
64324,NSD1,MENDELIAN,OMIM:117550
6521,SLC4A1,MENDELIAN,OMIM:179800
336,APOA2,POLYGENIC,OMIM:143890
2690,GHR,POLYGENIC,OMIM:143890
2053,EPHX2,POLYGENIC,OMIM:143890
10842,PPP1R17,POLYGENIC,OMIM:143890
3949,LDLR,MENDELIAN,OMIM:143890
3778,KCNMA1,MENDELIAN,OMIM:609446
2492,FSHR,MENDELIAN,OMIM:608115
658,BMPR1B,MENDELIAN,OMIM:609441
1678,TIMM8A,MENDELIAN,OMIM:304700
10518,CIB2,MENDELIAN,OMIM:609439
7374,UNG,MENDELIAN,OMIM:608106
50674,NEUROG3,MENDELIAN,OMIM:610370
6833,ABCC8,MENDELIAN,OMIM:610374
1591,CYP24A1,MENDELIAN,OMIM:143880
4598,MVK,MENDELIAN,OMIM:610377
1234,CCR5,POLYGENIC,OMIM:610379
79053,ALG8,MENDELIAN,OMIM:608104
57465,TBC1D24,MENDELIAN,OMIM:608105
727857,BHLHA9,MENDELIAN,OMIM:609432
57217,TTC7A,MENDELIAN,OMIM:243150
84839,RAX2,MENDELIAN,OMIM:610381
1524,CX3CR1,POLYGENIC,OMIM:609423
3586,IL10,POLYGENIC,OMIM:609423
729230,CCR2,POLYGENIC,OMIM:609423
6349,CCL3L1,POLYGENIC,OMIM:609423
3458,IFNG,POLYGENIC,OMIM:609423
6387,CXCL12,POLYGENIC,OMIM:609423
3811,KIR3DL1,POLYGENIC,OMIM:609423
30835,CD209,POLYGENIC,OMIM:609423
6356,CCL11,POLYGENIC,OMIM:609423
3107,HLA-C,POLYGENIC,OMIM:609423
1234,CCR5,POLYGENIC,OMIM:609423
6352,CCL5,POLYGENIC,OMIM:609423
3577,CXCR1,POLYGENIC,OMIM:609423
7098,TLR3,POLYGENIC,OMIM:609423
6347,CCL2,POLYGENIC,OMIM:609423
6348,CCL3,POLYGENIC,OMIM:609423
1080,CFTR,POLYGENIC,OMIM:167800
11330,CTRC,POLYGENIC,OMIM:167800
5645,PRSS2,POLYGENIC,OMIM:167800
5644,PRSS1,MENDELIAN,OMIM:167800
6690,SPINK1,MENDELIAN,OMIM:167800
23503,ZFYVE26,MENDELIAN,OMIM:270700
477,ATP1A2,MENDELIAN,OMIM:104290
1294,COL7A1,MENDELIAN,OMIM:131850
112476,PRRT2,MENDELIAN,OMIM:128200
219736,STOX1,MENDELIAN,OMIM:609404
6905,TBCE,MENDELIAN,OMIM:244460
6949,TCOF1,MENDELIAN,OMIM:154500
546,ATRX,MENDELIAN,OMIM:309580
6611,SMS,MENDELIAN,OMIM:309583
1374,CPT1A,MENDELIAN,OMIM:255120
81887,LAS1L,MENDELIAN,OMIM:309585
6833,ABCC8,MENDELIAN,OMIM:256450
23479,ISCU,MENDELIAN,OMIM:255125
65125,WNK1,MENDELIAN,OMIM:201300
6335,SCN9A,MENDELIAN,OMIM:201300
547,KIF1A,MENDELIAN,OMIM:201300
54463,RETREG1,MENDELIAN,OMIM:201300
9276,COPB2,MENDELIAN,OMIM:617800
1376,CPT2,MENDELIAN,OMIM:255110
22907,DHX30,MENDELIAN,OMIM:617804
7407,VARS1,MENDELIAN,OMIM:617802
196528,ARID2,MENDELIAN,OMIM:617808
9230,RAB11B,MENDELIAN,OMIM:617807
80000,GREB1L,MENDELIAN,OMIM:617805
4054,LTBP3,MENDELIAN,OMIM:617809
10075,HUWE1,MENDELIAN,OMIM:309590
8733,GPAA1,MENDELIAN,OMIM:617810
4688,NCF2,MENDELIAN,OMIM:233710
5279,PIGC,MENDELIAN,OMIM:617816
50943,FOXP3,MENDELIAN,OMIM:304790
84162,BLTP1,MENDELIAN,OMIM:617822
1806,DPYD,MENDELIAN,OMIM:274270
1278,COL1A2,MENDELIAN,OMIM:617821
2902,GRIN1,MENDELIAN,OMIM:617820
2263,FGFR2,MENDELIAN,OMIM:207410
5447,POR,MENDELIAN,OMIM:207410
10587,TXNRD2,MENDELIAN,OMIM:617825
3861,KRT14,MENDELIAN,OMIM:131800
2561,GABRB2,MENDELIAN,OMIM:617829
54822,TRPM7,POLYGENIC,OMIM:105500
9837,GINS1,MENDELIAN,OMIM:617827
25953,PNKD,MENDELIAN,OMIM:118800
128338,DRAM2,MENDELIAN,OMIM:616502
10560,SLC19A2,MENDELIAN,OMIM:249270
388753,COA6,MENDELIAN,OMIM:616501
116150,NUS1,MENDELIAN,OMIM:617831
493753,COA5,MENDELIAN,OMIM:616500
4915,NTRK2,MENDELIAN,OMIM:617830
79947,DHDDS,MENDELIAN,OMIM:617836
91137,SLC25A46,MENDELIAN,OMIM:616505
57211,ADGRG6,MENDELIAN,OMIM:616503
4047,LSS,MENDELIAN,OMIM:616509
311,ANXA11,MENDELIAN,OMIM:617839
6678,SPARC,MENDELIAN,OMIM:616507
10804,GJB6,MENDELIAN,OMIM:129500
3784,KCNQ1,MENDELIAN,OMIM:220400
2632,GBE1,MENDELIAN,OMIM:263570
4891,SLC11A2,MENDELIAN,OMIM:206100
26060,APPL1,POLYGENIC,OMIM:616511
22926,ATF6,MENDELIAN,OMIM:616517
4000,LMNA,MENDELIAN,OMIM:616516
9750,RIPOR2,MENDELIAN,OMIM:616515
653361,NCF1,MENDELIAN,OMIM:233700
27019,DNAI1,MENDELIAN,OMIM:244400
3892,KRT86,MENDELIAN,OMIM:158000
3887,KRT81,MENDELIAN,OMIM:158000
3889,KRT83,MENDELIAN,OMIM:158000
2703,GJA8,MENDELIAN,OMIM:116200
26580,BSCL2,MENDELIAN,OMIM:269700
1213,CLTC,MENDELIAN,OMIM:617854
131669,UROC1,MENDELIAN,OMIM:276880
23040,MYT1L,MENDELIAN,OMIM:616521
203228,C9orf72,MENDELIAN,OMIM:105550
11235,PDCD10,MENDELIAN,OMIM:603285
83605,CCM2,MENDELIAN,OMIM:603284
81,ACTN4,MENDELIAN,OMIM:603278
8022,LHX3,MENDELIAN,OMIM:221750
122553,TRAPPC6B,MENDELIAN,OMIM:617862
5297,PI4KA,MENDELIAN,OMIM:616531
112752,IFT43,MENDELIAN,OMIM:617866
3026,HABP2,POLYGENIC,OMIM:616535
57688,ZSWIM6,MENDELIAN,OMIM:617865
2304,FOXE1,POLYGENIC,OMIM:616534
2893,GRIA4,MENDELIAN,OMIM:617864
81562,LMAN2L,MENDELIAN,OMIM:617863
3661,IRF3,POLYGENIC,OMIM:616532
57570,TRMT5,MENDELIAN,OMIM:616539
50615,IL21R,MENDELIAN,OMIM:615207
1605,DAG1,MENDELIAN,OMIM:616538
55612,FERMT1,MENDELIAN,OMIM:173650
84433,CARD11,MENDELIAN,OMIM:615206
50945,TBX22,MENDELIAN,OMIM:303400
54802,TRIT1,MENDELIAN,OMIM:617873
51081,MRPS7,MENDELIAN,OMIM:617872
7518,XRCC4,MENDELIAN,OMIM:616541
112752,IFT43,MENDELIAN,OMIM:617871
84823,LMNB2,MENDELIAN,OMIM:616540
650,BMP2,MENDELIAN,OMIM:617877
9786,KIAA0586,MENDELIAN,OMIM:616546
5295,PIK3R1,MENDELIAN,OMIM:615214
178,AGL,MENDELIAN,OMIM:232400
4041,LRP5,MENDELIAN,OMIM:617875
138050,HGSNAT,MENDELIAN,OMIM:616544
79053,ALG8,MENDELIAN,OMIM:617874
84700,MYO18B,MENDELIAN,OMIM:616549
8777,MPDZ,MENDELIAN,OMIM:615219
10383,TUBB4B,MENDELIAN,OMIM:617879
23533,PIK3R5,MENDELIAN,OMIM:615217
1285,COL4A3,MENDELIAN,OMIM:104200
65057,ACD,MENDELIAN,OMIM:616553
7471,WNT1,POLYGENIC,OMIM:615221
672,BRCA1,MENDELIAN,OMIM:617883
83452,RAB33B,MENDELIAN,OMIM:615222
7305,TYROBP,MENDELIAN,OMIM:221770
4747,NEFL,MENDELIAN,OMIM:617882
7471,WNT1,MENDELIAN,OMIM:615220
22861,NLRP1,MENDELIAN,OMIM:615225
7700,ZNF141,MENDELIAN,OMIM:615226
109,ADCY3,POLYGENIC,OMIM:617885
1453,CSNK1D,MENDELIAN,OMIM:615224
6655,SOS2,MENDELIAN,OMIM:616559
498,ATP5F1A,MENDELIAN,OMIM:615228
7072,TIA1,MENDELIAN,OMIM:604454
23646,PLD3,MENDELIAN,OMIM:617770
4638,MYLK,MENDELIAN,OMIM:249210
9853,RUSC2,MENDELIAN,OMIM:617773
9860,LRIG2,MENDELIAN,OMIM:615112
114548,NLRP3,MENDELIAN,OMIM:617772
4750,NEK1,MENDELIAN,OMIM:263520
343450,KCNT2,MENDELIAN,OMIM:617771
2778,GNAS,MENDELIAN,OMIM:174800
84818,IL17RC,MENDELIAN,OMIM:616445
220,ALDH1A3,MENDELIAN,OMIM:615113
1355,COX15,MENDELIAN,OMIM:615119
81857,MED25,MENDELIAN,OMIM:616449
4693,NDP,MENDELIAN,OMIM:310600
267010,RNU12,MENDELIAN,OMIM:603116
9742,IFT140,MENDELIAN,OMIM:617781
65267,WNK3,MENDELIAN,OMIM:309610
4522,MTHFD1,MENDELIAN,OMIM:617780
939,CD27,MENDELIAN,OMIM:615122
55159,RFWD3,MENDELIAN,OMIM:617784
25959,KANK2,MENDELIAN,OMIM:617783
84433,CARD11,MENDELIAN,OMIM:616452
375790,AGRN,MENDELIAN,OMIM:615120
8792,TNFRSF11A,MENDELIAN,OMIM:174810
200205,IBA57,MENDELIAN,OMIM:616451
51111,KMT5B,MENDELIAN,OMIM:617788
790,CAD,MENDELIAN,OMIM:616457
55689,YEATS2,MENDELIAN,OMIM:615127
80155,NAA15,MENDELIAN,OMIM:617787
526,ATP6V1B2,MENDELIAN,OMIM:616455
28960,DCPS,MENDELIAN,OMIM:616459
1991,ELANE,MENDELIAN,OMIM:162800
146057,TTBK2,MENDELIAN,OMIM:604432
111365204,-,MENDELIAN,OMIM:136550
51083,GAL,MENDELIAN,OMIM:616461
80153,EDC3,MENDELIAN,OMIM:616460
55870,ASH1L,MENDELIAN,OMIM:617796
7015,TERT,POLYGENIC,OMIM:615134
25885,POLR1A,MENDELIAN,OMIM:616462
79797,ZNF408,MENDELIAN,OMIM:616469
816,CAMK2B,MENDELIAN,OMIM:617799
79797,ZNF408,MENDELIAN,OMIM:616468
815,CAMK2A,MENDELIAN,OMIM:617798
152926,PPM1K,MENDELIAN,OMIM:615135
5426,POLE,MENDELIAN,OMIM:615139
1441,CSF3R,MENDELIAN,OMIM:162830
4059,BCAM,MENDELIAN,OMIM:111200
1303,COL12A1,MENDELIAN,OMIM:616471
1303,COL12A1,MENDELIAN,OMIM:616470
55714,TENM3,MENDELIAN,OMIM:615145
246243,RNASEH1,MENDELIAN,OMIM:616479
1482,NKX2-5,MENDELIAN,OMIM:225250
5950,RBP4,MENDELIAN,OMIM:615147
112476,PRRT2,MENDELIAN,OMIM:605751
8241,RBM10,MENDELIAN,OMIM:311900
9051,PSTPIP1,MENDELIAN,OMIM:604416
51594,NBAS,MENDELIAN,OMIM:616483
2261,FGFR3,MENDELIAN,OMIM:616482
83861,RSPH3,MENDELIAN,OMIM:616481
5339,PLEC,MENDELIAN,OMIM:616487
85301,COL27A1,MENDELIAN,OMIM:615155
84879,MFSD2A,MENDELIAN,OMIM:616486
1763,DNA2,MENDELIAN,OMIM:615156
27089,UQCRQ,MENDELIAN,OMIM:615159
1001,CDH3,MENDELIAN,OMIM:225280
3481,IGF2,MENDELIAN,OMIM:616489
54902,TTC19,MENDELIAN,OMIM:615157
6023,RMRP,MENDELIAN,OMIM:250250
59335,PRDM12,MENDELIAN,OMIM:616488
7381,UQCRB,MENDELIAN,OMIM:615158
6323,SCN1A,MENDELIAN,OMIM:604403
9786,KIAA0586,MENDELIAN,OMIM:616490
79188,TMEM43,MENDELIAN,OMIM:604400
9533,POLR1C,MENDELIAN,OMIM:616494
7385,UQCRC2,MENDELIAN,OMIM:615160
4669,NAGLU,MENDELIAN,OMIM:616491
3630,INS,MENDELIAN,OMIM:125852
5167,ENPP1,POLYGENIC,OMIM:125853
6928,HNF1B,MENDELIAN,OMIM:125853
6514,SLC2A2,POLYGENIC,OMIM:125853
8660,IRS2,POLYGENIC,OMIM:125853
3159,HMGA1,POLYGENIC,OMIM:125853
169026,SLC30A8,POLYGENIC,OMIM:125853
56729,RETN,POLYGENIC,OMIM:125853
5770,PTPN1,POLYGENIC,OMIM:125853
7466,WFS1,POLYGENIC,OMIM:125853
9479,MAPK8IP1,POLYGENIC,OMIM:125853
3651,PDX1,POLYGENIC,OMIM:125853
6934,TCF7L2,POLYGENIC,OMIM:125853
6833,ABCC8,MENDELIAN,OMIM:125853
3569,IL6,POLYGENIC,OMIM:125853
10644,IGF2BP2,POLYGENIC,OMIM:125853
5506,PPP1R3A,MENDELIAN,OMIM:125853
3172,HNF4A,POLYGENIC,OMIM:125853
6927,HNF1A,POLYGENIC,OMIM:125853
4544,MTNR1B,POLYGENIC,OMIM:125853
3667,IRS1,POLYGENIC,OMIM:125853
5468,PPARG,POLYGENIC,OMIM:125853
3990,LIPC,POLYGENIC,OMIM:125853
3767,KCNJ11,POLYGENIC,OMIM:125853
5078,PAX4,MENDELIAN,OMIM:125853
4760,NEUROD1,POLYGENIC,OMIM:125853
2820,GPD2,POLYGENIC,OMIM:125853
208,AKT2,MENDELIAN,OMIM:125853
2645,GCK,MENDELIAN,OMIM:125853
3172,HNF4A,MENDELIAN,OMIM:125850
2645,GCK,MENDELIAN,OMIM:125851
675,BRCA2,MENDELIAN,OMIM:605724
10280,SIGMAR1,MENDELIAN,OMIM:605726
3386,ICAM4,MENDELIAN,OMIM:111250
79651,RHBDF2,MENDELIAN,OMIM:148500
11152,WDR45,MENDELIAN,OMIM:615179
83938,LRMDA,MENDELIAN,OMIM:615179
23189,KANK1,MENDELIAN,OMIM:612900
7476,WNT7A,MENDELIAN,OMIM:276820
1832,DSP,MENDELIAN,OMIM:612908
5080,PAX6,MENDELIAN,OMIM:136520
351,APP,MENDELIAN,OMIM:605714
148789,B3GALNT2,MENDELIAN,OMIM:615181
27247,NFU1,MENDELIAN,OMIM:605711
1410,CRYAB,MENDELIAN,OMIM:615184
59345,GNB4,MENDELIAN,OMIM:615185
6576,SLC25A1,MENDELIAN,OMIM:615182
1419,CRYGB,MENDELIAN,OMIM:615188
2271,FH,MENDELIAN,OMIM:150800
2879,GPX4,MENDELIAN,OMIM:250220
5290,PIK3CA,MENDELIAN,OMIM:612918
3912,LAMB1,MENDELIAN,OMIM:615191
2235,FECH,MENDELIAN,OMIM:177000
51750,RTEL1,MENDELIAN,OMIM:615190
199713,NLRP7,MENDELIAN,OMIM:231090
87,ACTN1,MENDELIAN,OMIM:615193
79705,LRRK1,MENDELIAN,OMIM:615198
359,AQP2,MENDELIAN,OMIM:125800
2778,GNAS,MENDELIAN,OMIM:166350
4179,CD46,POLYGENIC,OMIM:612922
23363,OBSL1,MENDELIAN,OMIM:612921
629,CFB,POLYGENIC,OMIM:612924
6916,TBXAS1,MENDELIAN,OMIM:231095
3426,CFI,POLYGENIC,OMIM:612923
7056,THBD,POLYGENIC,OMIM:612926
718,C3,POLYGENIC,OMIM:612925
170302,ARX,MENDELIAN,OMIM:308350
3848,KRT1,MENDELIAN,OMIM:113800
6514,SLC2A2,MENDELIAN,OMIM:227810
7155,TOP2B,MENDELIAN,OMIM:609296
6833,ABCC8,MENDELIAN,OMIM:240800
3939,LDHA,MENDELIAN,OMIM:612933
1130,LYST,MENDELIAN,OMIM:214500
2027,ENO3,MENDELIAN,OMIM:612932
7846,TUBA1A,MENDELIAN,OMIM:611603
54344,DPM3,MENDELIAN,OMIM:612937
9179,AP4M1,MENDELIAN,OMIM:612936
2710,GK,MENDELIAN,OMIM:307030
79068,FTO,MENDELIAN,OMIM:612938
7157,TP53,POLYGENIC,OMIM:137800
2064,ERBB2,MENDELIAN,OMIM:137800
3417,IDH1,POLYGENIC,OMIM:137800
7170,TPM3,MENDELIAN,OMIM:609284
7169,TPM2,MENDELIAN,OMIM:609285
291,SLC25A4,MENDELIAN,OMIM:609283
5831,PYCR1,MENDELIAN,OMIM:612940
7490,WT1,MENDELIAN,OMIM:256370
55975,KLHL7,MENDELIAN,OMIM:612943
92344,GORAB,MENDELIAN,OMIM:231070
2218,FKTN,MENDELIAN,OMIM:611615
3897,L1CAM,MENDELIAN,OMIM:307000
23203,PMPCA,MENDELIAN,OMIM:213200
56652,TWNK,MENDELIAN,OMIM:609286
8604,SLC25A12,MENDELIAN,OMIM:612949
2771,GNAI2,MENDELIAN,OMIM:192605
27031,NPHP3,MENDELIAN,OMIM:267010
6795,AURKC,MENDELIAN,OMIM:243060
85366,MYLK2,MENDELIAN,OMIM:192600
